titulo,tipo,tema,abordagem,faixaEtaria,grauAutismo
Conteúdo 1: Dificuldade de interação social,Vídeo,Inclusão escolar,Psicoterapia,7-10 anos,Leve
Conteúdo 2: Ecolalia,Artigo,Comportamento,Comunicação alternativa,4-6 anos,Leve
Conteúdo 3: Agressividade,Vídeo,Intervenção precoce,Fonoaudiologia,7-10 anos,Severo
Conteúdo 4: Hiperatividade,Podcast,Intervenção precoce,Musicoterapia,0-3 anos,Moderado
Conteúdo 5: Dificuldade de interação social,Artigo,Inclusão escolar,TEACCH,4-6 anos,Severo
Conteúdo 6: Fuga de ambientes,Vídeo,Inclusão escolar,Comunicação alternativa,4-6 anos,Moderado
Conteúdo 7: Fuga de ambientes,Vídeo,Nutrição,Integração sensorial,4-6 anos,Leve
Conteúdo 8: Comportamento repetitivo,Artigo,Intervenção precoce,ABA,4-6 anos,Leve
Conteúdo 9: Atraso na fala,Podcast,Comportamento,Musicoterapia,7-10 anos,Leve
Conteúdo 10: Fuga de ambientes,Podcast,Comunicação,Fonoaudiologia,0-3 anos,Moderado
Conteúdo 11: Dificuldade de interação social,Podcast,Inclusão escolar,Comunicação alternativa,0-3 anos,Severo
Conteúdo 12: Seletividade alimentar,Artigo,Comportamento,Musicoterapia,4-6 anos,Moderado
Conteúdo 13: Hiperatividade,Podcast,Comportamento,Fonoaudiologia,7-10 anos,Severo
Conteúdo 14: Atraso na fala,Podcast,Comunicação,Integração sensorial,0-3 anos,Leve
Conteúdo 15: Dificuldade de interação social,Artigo,Inclusão escolar,ABA,7-10 anos,Moderado
Conteúdo 16: Fuga de ambientes,Vídeo,Inclusão escolar,Musicoterapia,0-3 anos,Severo
Conteúdo 17: Hiperatividade,Podcast,Inclusão escolar,Musicoterapia,0-3 anos,Severo
Conteúdo 18: Dificuldade de interação social,Podcast,Comportamento,Fonoaudiologia,4-6 anos,Leve
Conteúdo 19: Atraso na fala,Artigo,Nutrição,Integração sensorial,7-10 anos,Moderado
Conteúdo 20: Comportamento repetitivo,Artigo,Intervenção precoce,Comunicação alternativa,7-10 anos,Moderado
Conteúdo 21: Comportamento repetitivo,Podcast,Intervenção precoce,Integração sensorial,4-6 anos,Severo
Conteúdo 22: Seletividade alimentar,Podcast,Comunicação,ABA,7-10 anos,Severo
Conteúdo 23: Agressividade,Vídeo,Inclusão escolar,TEACCH,7-10 anos,Leve
Conteúdo 24: Atraso na fala,Artigo,Comunicação,Psicoterapia,7-10 anos,Moderado
Conteúdo 25: Comportamento repetitivo,Vídeo,Intervenção precoce,TEACCH,0-3 anos,Leve
Conteúdo 26: Ecolalia,Artigo,Nutrição,Comunicação alternativa,7-10 anos,Leve
Conteúdo 27: Comportamento repetitivo,Vídeo,Comunicação,ABA,0-3 anos,Severo
Conteúdo 28: Fuga de ambientes,Podcast,Comportamento,Musicoterapia,0-3 anos,Severo
Conteúdo 29: Intolerância ao toque físico,Podcast,Comunicação,Fonoaudiologia,0-3 anos,Severo
Conteúdo 30: Intolerância ao toque físico,Artigo,Nutrição,Psicoterapia,0-3 anos,Moderado
